iter	Passed	Remaining
0	180	179873
1	233	116512
2	299	99591
3	362	90322
4	450	89644
5	520	86239
6	586	83174
7	638	79206
8	693	76371
9	741	73378
10	789	70992
11	834	68690
12	879	66788
13	947	66715
14	998	65569
15	1053	64787
16	1106	63972
17	1151	62840
18	1196	61788
19	1239	60723
20	1285	59912
221	1414	62886222	1476	6273523	1461	59425
24	1529	59634
25	1590	59584
26	1647	59357
27	1702	59110
28	1747	58519
29	1802	58274
30	1858	58106
31	1908	57732
32	1972	57792
33	2026	57565
34	2151	59322
35	2217	59369
36	2270	59083
37	2318	58689
38	2372	58471
39	2414	57951
40	2474	57876
41	2526	57620
42	2586	57562
43	2634	57246
44	2689	57084
45	2747	56985
46	2804	56866
47	2854	56607
48	2911	56512
49	2957	56188
50	3086	57428
51	3054	55692
52	3108	55548
53	3163	55427
54	3216	55263
55	3268	55089
56	3335	55189
57	3394	55124
58	3442	54908
59	3494	54743
6060	3655	56276161	3718	56266262	3785	56306363	3845	56236464	3924	56446565	3984	56386666	4048	56374
67	4116	56418
68	4171	56281
69	4226	56146
70	4289	56124
71	4334	55872
72	4395	55815
73	4445	55633
74	4486	55331
75	4540	55199
76	4589	55015
77	4636	54805
78	4699	54791
79	4755	54685
80	4802	54484
81	4838	54170
82	4891	54040
83	4961	54098
84	5012	53956
85	5060	53784
86	5112	53648
87	5174	53622
88	5218	53417
89	5278	53374
90	5337	53314
91	5382	53125
92	5442	53082
93	5514	53149
94	5579	53154
95	5635	53069
96	5700	53063
97	5752	52948
98	5804	52823
99	5852	52671
100	5903	52547
101	5951	52392
102	6003	52280
103	6047	52103
104	6103	52025
105	6164	51990
106	6219	51907
107	6269	51782
108	6326	51714
109	6393	51732
110	6442	51601
111	6506	51585
112	6567	51549
113	6619	51445
114	6677	51387
115	6727	51271
116	6785	51211
117	6852	51218
118	6912	51178
119	6953	50995
120	7008	50914
121	7065	50845
122	7109	50693
123	7163	50605
124	7232	50627
125	7361	51063
126	7417	50990
127	7470	50895
128	7540	50912
129	7601	50869
130	7665	50847
131	7721	50772
132	7783	50735
133	7847	50714
134	7909	50682
135	7967	50613
136	8022	50537
137	8078	50460
138	8133	50383
139	8185	50279
140	8234	50168
141	8288	50080
142	8341	49991
143	8400	49938
144	8454	49850
145	8508	49767
146	8574	49756
147	8629	49677
148	8680	49578
149	8734	49493
150	8784	49393
151	8852	49385
152	8913	49347
153	8987	49374
154	9055	49367
155	9108	49276
156	9161	49193
157	9226	49168
158	9276	49065
159	9328	48975
160	9397	48974
161	9459	48931
162	9518	48876
163	9581	48843
164	9627	48722
165	9686	48665
166	9740	48585
167	9805	48561
168	9858	48476
169	9909	48379
170	9951	48245
171	10012	48201
172	10069	48136
173	10130	48091
174	10182	48003
175	10251	47995
176	10307	47926
177	10373	47904
178	10437	47871
179	10479	47738
180	10544	47710
181	10617	47718
182	10666	47620
183	10723	47555
184	10783	47503
185	10841	47446
186	10887	47333
187	10952	47303
188	11012	47252
189	11074	47212
190	11131	47147
191	11183	47064
192	11235	46981
193	11290	46907
194	11343	46829
195	11394	46742
196	11447	46660
197	11497	46570
198	11552	46500
199	11607	46428
200	11662	46358
201	11704	46237
202	11757	46161
203	11805	46065
204	11861	45999
205	11908	45899
206	11969	45854
207	12011	45735
208	12064	45661
209	12113	45568
210	12166	45496
211	12220	45422
212	12272	45343
213	12339	45323
214	12399	45271
215	12450	45191
216	12507	45132
217	12562	45064
218	12622	45014
219	12669	44920
220	12718	44831
221	12783	44799
222	12830	44704
223	12875	44605
224	12910	44470
225	12959	44384
226	13012	44310
227	13057	44212
228	13124	44187
229	13175	44107
230	13218	44003
231	13270	43929
232	13321	43853
233	13395	43851
234	13445	43768
235	13501	43709
236	13550	43625
237	13595	43529
238	13638	43424
239	13688	43347
240	13750	43306
241	13799	43224
242	13868	43204
243	13919	43128
244	13971	43053
245	14015	42958
246	14072	42899
247	14128	42841
248	14167	42728
249	14215	42645
250	14259	42552
251	14318	42499
252	14388	42483
253	14500	42588
254	14552	42514
255	14599	42428
256	14640	42325
257	14683	42230
258	14752	42205
259	14809	42148
260	14860	42076
261	14914	42010
262	14985	41992
263	15039	41929
264	15092	41858
265	15152	41811
266	15206	41747
267	15262	41686
268	15319	41629
269	15366	41546
270	15427	41501
271	15484	41443
272	15537	41377
273	15595	41322
274	15670	41314
275	15723	41246
276	15773	41170
277	15826	41102
278	15887	41057
279	15943	40996
280	15998	40934
281	16049	40862
282	16100	40791
283	16154	40727
284	16202	40647
285	16248	40565
286	16299	40493
287	16355	40434
288	16400	40348
289	16454	40286
290	16509	40224
291	16554	40139
292	16600	40056
293	16646	39973
294	16698	39906
295	16758	39857
296	16810	39790
297	16854	39703
298	16903	39631
299	16962	39580
300	17020	39526
301	17072	39458
302	17146	39443
303	17206	39392
304	17279	39374
305	17330	39305
306	17390	39255
307	17437	39177
308	17486	39103
309	17520	38996
310	17570	38926
311	17619	38852
312	17670	38783
313	17712	38697
314	17764	38630
315	17808	38546
316	17867	38497
317	17909	38410
318	17969	38361
319	18022	38298
320	18078	38241
321	18132	38179
322	18196	38139
323	18231	38039
324	18287	37981
325	18336	37911
326	18376	37820
327	18425	37749
328	18476	37682
329	18561	37684
330	18688	37772
331	18760	37746
332	18818	37693
333	18871	37629
334	18941	37601
335	19005	37557
336	19063	37504
337	19129	37466
338	19182	37402
339	19222	37315
340	19266	37232
341	19323	37178
342	19392	37146
343	19468	37125
344	19512	37046
345	19565	36981
346	19604	36892
347	19653	36822
348	19697	36741
349	19776	36727
350	19832	36669
351	19886	36608
352	19940	36548
353	20001	36499
354	20061	36450
355	20107	36374
356	20171	36330
357	20209	36242
358	20283	36216
359	20371	36215
360	20465	36225
361	20597	36302
362	20742	36399
363	20869	36464
364	20944	36437
365	21030	36429
366	21171	36517
367	21247	36490
368	21340	36493
369	21391	36422
370	21455	36376
371	21526	36340
372	21591	36295
373	21668	36268
374	21756	36261
375	21831	36231
376	21893	36178
377	21937	36098
378	21993	36037
379	22053	35982
380	22113	35927
381	22159	35849
382	22228	35809
383	22295	35766
384	22394	35773
385	22470	35742
386	22518	35669
387	22563	35590
388	22605	35505
389	22656	35436
390	22714	35378
391	22780	35332
392	22846	35287
393	22902	35225
394	22958	35164
395	23396	23001	396	23397	23059	397	23130	34986
398	23172	34903
399	23240	34861
400	23296	34798
401	23350	34735
402	23410	34679
403	23451	34596
404	23506	34533
405	23550	34455
406	23617	34411
407	23677	34356
408	23732	34293
409	23796	34243
410	23886	34232
411	23944	34172
412	24012	34128
413	24075	34077
414	24125	34008
415	24171	33933
416	24235	33883
417	24295	33828
418	24352	33768
419	24414	33715
420	24543	33754
421	24642	33751
422	24752	33764
423	24808	33702
424	24879	33661
425	24963	33636
426	25037	33598
427	25111	33560
428	25190	33529
429	25259	33483
430	25330	33441
431	25399	33395
432	25458	33336
433	25543	33312
434	25682	33357
435	25759	33321
436	25869	33329
437	25943	33287
438	26004	33231
439	26058	33165
440	26152	33150
441	26219	33101
442	26290	33056
443	26364	33015
444	26439	32974
445	26511	32931
446	26528	32819
447	26546	32709
448	26560	32594
449	26577	32483
450	26592	32370
451	26605	32256
452	26621	32145
453	26638	32036
454	26652	31924
455	26670	31817
456	26690	31712
457	26749	31655
458	26831	31624
459	26903	31581
460	26973	31537
461	27033	31480
462	27117	31451
463	27207	31429
464	27286	31394
465	27438	31442
466	27540	31432
467	27606	31381
468	27667	31324
469	27714	31252
470	27770	31190
471	27822	31123
472	27893	31077
473	28038	31114
474	28118	31078
475	28195	31039
476	28281	31008
477	28371	30982
478	28443	30937
479	28497	30871
480	28572	30829
481	28650	30790
482	28710	30731
483	28822	30728
484	28905	30693
485	28958	30626
486	29027	30577
487	29112	30544
488	29174	30486
489	29188	30379
490	29210	30281
491	29229	30180
492	29247	30078
493	29278	29990
494	29352	29945
495	29441	29916
496	29528	29885
497	29607	29845
498	29672	29791
499	29747	29747
500	29849	29730
501	29928	29689
502	30018	29660
503	30109	29631
504	30204	29605
505	30278	29560
506	30336	29498
507	30422	29464
508	30466	29388
509	30539	29341
510	30619	29300
511	30712	29272
512	30807	29246
513	30903	29220
514	30961	29158
515	31038	29113
516	31099	29054
517	31159	28994
518	31239	28952
519	31309	28900
520	31372	28843
521	31446	28795
522	31525	28752
523	31599	28704
524	31655	28640
525	31725	28589
526	31787	28530
527	31856	28477
528	31909	28411
529	31976	28356
530	32051	28308
531	32118	28254
532	32206	28218
533	32286	28175
534	32356	28122
535	32433	28076
536	32562	28075
537	32650	28038
538	32737	28000
539	32804	27944
540	32856	27876
541	32918	27817
542	32996	27770
543	33058	27710
544	33124	27654
545	33209	27613
546	33292	27571
547	33368	27523
548	33434	27466
549	33506	27414
550	33594	27375
551	33679	27333
552	33750	27281
553	33820	27227
554	33891	27173
555	33954	27114
556	34043	27076
557	34126	27032
558	34206	26986
559	34294	26945
560	34351	26881
561	34412	26819
562	34477	26761
563	34539	26700
564	34616	26652
565	34693	26602
566	34755	26541
567	34825	26487
568	34905	26440
569	34977	26386
570	35092	26365
571	35160	26309
572	35186	26220
573	35206	26128
574	35227	26038
575	35245	25944
576	35266	25853
577	35289	25764
578	35309	25674
579	35333	25586
580	35357	25498
581	35378	25409
582	35399	25320
583	35418	25229
584	35440	25141
585	35465	25055
586	35486	24967
587	35507	24879
588	35528	24791
589	35549	24703
590	35569	24615
591	35591	24529
592	35614	24443
593	35638	24358
594	35661	24273
595	35682	24187
596	35704598	35731	23920
599	35807	23871
600	35933	23856
601	36008	23805
602	36072	23749
603	36157	23705
604	36224	23651
605	36311	23608
606	36357	23539
607	36424	23484
608	36488	23426
609	36563	23376
610	36611	23309
611	36703	23269
612	36771	23214
613	36836	23157
614	36912	23107
615	36979	23051
616	37037	22990
617	37118	22943
618	37183	22886
619	37235	22821
620	37304	22767
621	37370	22710
622	37480	22680
623	37566	22636
624	37633	22579
625	37736	22545
626	37799	22486
627	37876	22436
628	37953	22386
629	38020	22329
630	38087	22273
631	38165	22222
632	38229	22164
633	38309	22115
634	38374	22057
635	38432	21996
636	38516	21949
637	38585	21893
638	38648	21834
639	38744	21793
640	38818	21740
641	38921	21703
642	39009	21658
643	39074	21600
644	39135	21539
645	39225	21495
646	39315	21450
647	39387	21395
648	39457	21339
649	39527	21284
650	39602	21231
651	39684	21181
652	39767	21132
653	39853	21084
654	39870	21000
655	39892	20919
656	39913	20837
657	39932	20755
658	39953	20674
659	40002	20607
660	40081	20556
661	40144	20661	662	40216	20662	663	40288	20386
664	40356	20329
665	40431	20276
666	40515	20227
667	40572	20164
668	40641	20107
669	40729	20060
670	40809	20009
671	40894	19960
672	40965	19904
673	41035	19848
674	41109	19793
675	41189	19741
676	41271	19690
677	41351	19638
678	41418	19580
679	41487	19523
680	41542	19459
681	41620	19406
682	41694	19351
683	41759	19292
684	41821	19231
685	41878	19168
686	41942	19109
687	42018	19055
688	42084	18995
689	42160	18941
690	42227	18883
691	42295	18825
692	42359	18765
693	42421	18704
694	42488	18646
695	42621	18616
696	42695	18560
697	42777	18508
698	42860	18456
699	42914	18391
700	42997	18339
701	43058	18278
702	43134	18223
703	43221	18172
704	43301	18119
705	43378	18064
706	43439	18002
707	43536	17955
708	43690	17932
709	43864	17916
710	43948	17863
711	44078	17829
712	44261	17816
713	44332	17757
714	44456	17720
715	44537	17665
716	44683	17636
717	44773	17585
718	44865	17534
719	44967	17487
720	45030	17425
721	45108	17368
722	45185	17311
723	45227	17241
724	45284	17176
725	45355	17117
726	45450	17067
727	45529	17011
728	45589	16947
729	45645	16882
730	45698	16816
731	45770	16757
732	45822	16691
733	45895	16632
734	45969	16574
735	46052	16518
736	46145	16467
737	46226	16410
738	46309	16355
739	46388	16298
740	46449	16235
741	46519	16175
742	46594	16116
743	46653	16052
744	46728	15994
745	46783	15929
746	46852	15868
747	46910	15804
748	46987	15746
749	47045	15681
750	47105	15618
751	47192	15563
752	47251	15499
753	47318	15438
754	47372	15372
755	47427	15307
756	47491	15244
757	47553	15181
758	47619	15120
759	47719	15069
760	47795	15010
761	47850	14945
762	47912	14882
763	47972	14818
764	48033	14755
765	48086	14689
766	48136	14622
767	48217	14565
768	48268	14499
769	48329	14436
770	48394	14374
771	48487	14320
772	48573	14264
773	48648	14204
774	48740	14150
775	48819	14092
776	48874	14027
777	48945	13966
778	49063	13919
779	49124	13855
780	49186	13792
781	49236	13725
782	49290	13660
783	49310	13585
784	49329	13510
785	49347	13435
786	49359	13359
787	49372	13282
788	49391	13208
789	49412	13135
790	49435	13061
791	49456	12988
792	49477	12915
793	49498	12842
794	49521	12769
795	49543	12696
796	49562	12623
797	49587	12552
798	49644	12488
799	49701	12425
800	49742	12357
801	49805	12296
802	49863	12233
803	49916	12168
804	49984	12108
805	50032	12042
806	50076	11976
807	50125	11910
808	50171	11845
809	50245	11786
810	50300	11722
811	50370	11662
812	50426	11598
813	50498	11538
814	50564	11477
815	50627	11416
816	50682	11352
817	50728	11286
818	50798	11226
819	50857	11163
820	50928	11103
821	51028	11049
822	51111	10992
823	51170	10929
824	51236	10868
825	51316	10809
826	51365	10745
827	51423	10682
828	51470	10616
829	51521	10552
830	51575	10488
831	51616	10422
832	51652	10355
833	51700	10290
834	51757	10227
835	51807	10163
836	51859	10099
837	51905	10034
838	51961	9971
839	52007	9906
840	52060	9842
841	52127	9781
842	52266	9734
843	52365	9678
844	52452	9621
845	52559	9567
846	52810	9539
847	52905	9483
848	53023	9430
849	53108	9372
850	53256	9324
851	53335	9264
852	53407	9203
853	53466	9140
854	53523	9077
855	53582	9013
856	53651	8952
857	53719	8890
858	53797	8830
859	53875	8770
860	53955	8710
861	53998	8644
862	54046	8579
863	54136	8521
864	54185	8456
865	54233	8391
866	54286	8327
867	54317	8260
868	54377	8197
869	54421	8131
870	54503	8072
871	54570	8010
872	54627	7946
873	54672	7881
874	54747	7821
875	54812	7758
876	54888	7698
877	54934	7633
878	54980	7568
879	55040	7505
880	55094	7441
881	55143	7377
882	55196	7313
883	55244	7249
884	55304	7186
885	55364	7123
886	55428	7061
887	55488	6998
888	55546	6935
889	55600	6871
890	55651	6808
891	55702	6744
892	55744	6679
893	55795	6615
894	55850	6552
895	55903	6488
896	55973	6427
897	56011	6362
898	56055	6297
899	56072	6230
900	56093	6163
901	56109	6096
902	56130	6029
903	56148	5962
904	56162	5895
905	56187	5829
906	56229	5765
907	56273	5701
908	56299	5636
909	56322	5570
910	56339	5504
911	56353	5437
912	56372	5371
913	56387	5305
914	56409	5240
915	56431	5174
916	56447	5109
917	56464	5043
918	56479	4978
919	56494	4912
920	56510	4847
921	56526	4782
922	56542	4716
923	56556	4651
924	56572	4586
925	56588	4522
926	56602	4457
927	56619	4392
928	56638	4328
929	56658	4264
930	56677	4200
931	56695	4136
932	56714	4072
933	56733	4008
934	56755	3945
935	56772	3881
936	56789	3818
937	56806	3754
938	56823	3691
939	56839	3628
940	56855	3564
941	56870	3501
942	56884	3438
943	56898	3375
944	56915	3312
945	56930	3249
946	56946	3187
947	56960	3124
948	56976	3061
949	56989	2999
950	57004	2937
951	57018	2874
952	57031	2812
953	57046	2750
954	57060	2688
955	57075	2626
956	57087	2565
957	57103	2503
958	57122	2442
959	57137	2380
960	57152	2319
961	57166	2258
962	57183	2197
963	57195	2135
964	57214	2075
965	57230	2014
966	57242	1953
967	57254	1892
968	57267	1832
969	57281	1771
970	57294	1711
971	57307	1650
972	57328	1590
973	57340	1530
974	57352	1470
975	57365	1410
976	57378	1350
977	57389	1290
978	57402	1231
979	57412	1171
980	57429	1112
981	57443	1052
982	57456	993
983	57466	934
984	57477	875
985	57488	816
986	57507	757
987	57521	698
988	57533	639
989	57544	581
990	57556	522
991	57567	464
992	57578	405
993	57590	347
994	57601	289
995	57612	231
996	57624	173
997	57639	115
998	57655	57
999	57667	0
99	57280	0

